#0#1#2#3#4#5#Rating#Reviews#Price#Ciudad#Tipo Busqueda#Zona
0#Restaurante Puerto Playa#3,5(602) · €€#Mediterránea · Playa la Bajadilla s/n#Recetas mediterráneas sobre la arena#Cierra pronto ⋅ 16:30 ⋅ Próxima apertura: 19:00#  Comer allí#3,5#602# · €€#Marbella##Puerto
1#Restaurante La Bocana#4,5(1.217) · €€#Restaurante · Complejo Benabola, Bloque 1#Abierto ⋅ Cierra a las 0:00#  Comer allí#·#4,5#1.217# · €€#Marbella##Puerto
2#El Txoco de Luis Salinero: Restaurante en Puerto Banús#4,7(178) · €€#Restaurante · Paseo Javier López (Plaza Marina Banús Bloque 2 - Local 3#Abierto ⋅ Cierra a las 0:00#  Comer allí#·#4,7#178# · €€#Marbella##Puerto
3#La Habana Lounge#4,3(216)#Restaurante · Muelle Levante, 7#Cerrado ⋅ Apertura: 17:30#  Comer allí#·#4,3#216##Marbella##Puerto
4#The Harbour Bar & Restaurant Marbella#4,4(311)#Restaurante · Real Club Marítimo Marbella#Abierto ⋅ Cierra a las 0:00#"  ""Recomendable pedir mesa sobre ventana con vista al puerto."""##4,4#311##Marbella##Puerto
5#Meksian#4,5(218)#Japonesa · Casa Yz, Avenida De Julio Iglesias, C. Mlle. Ribera#  Comer allí#·#A domicilio#4,5#218##Marbella##Puerto
6#Restaurante Los Bandidos#4,4(331) · €€€#Francesa · Muelle Ribera, 35#Cocina ecléctica y atmósfera de película#Cerrado ⋅ Apertura: 19:00#  Comer allí#4,4#331# · €€€#Marbella##Puerto
7#INIMITABLE#4,6(105)#Cocina europea moderna · C. Ribera, 10#Cerrado ⋅ Apertura: 19:00#  Comer allí#·#4,6#105##Marbella##Puerto
8#Restaurante Carpaccio#4,2(224) · €€#Italiana · C. Mlle. Ribera, J6#Abierto ⋅ Cierra a las 0:00#  Comer allí#·#4,2#224# · €€#Marbella##Puerto
9#Red Pepper Puerto Banús#4,5(119)#Parrilla · C. Ribera, 4#Asador mediterráneo con sabores griegos#Abierto ⋅ Cierra a las 0:00#  Comer allí#4,5#119##Marbella##Puerto
10#Meraki Bistro Bar Restaurant#4,5(60)#Restaurante · Calle Muelle, C. Benabola, 6#Abierto ⋅ Cierra a la 1:00#  Comer allí#·#4,5#60##Marbella##Puerto
11#Tango Restaurante Puerto Banus Argentinian Grill#4,3(352) · €€€#Argentina · Av. de Julio Iglesias, s/n#Cerrado ⋅ Apertura: 18:00#  Comer allí#·#4,3#352# · €€€#Marbella##Puerto
12#Restaurante Pasta Factory#4,3(274)#Italiana · Urbanizacion a Nueva Andalucia, 2#Abierto ⋅ Cierra a las 0:00#  Comer allí#·#4,3#274##Marbella##Puerto
13#🍝 🇮🇹 Restaurante La Pasta Puerto Banús Marbella : Restaurante Italiano La pasta Puerto Banus 🍝🇮🇹#4,8(219)#Italiana · C. Jesus Puente, 27, 28#Cerrado ⋅ Apertura: 19:00#  Comer allí#·#4,8#219##Marbella##Puerto
14#Jacks Smokehouse#4,4(1.583) · €€#Restaurante · C. Mlle. Ribera, Local 23-25#Tiras de pollo, hamburguesas y tex-mex#Abierto ⋅ Cierra a las 0:00#  Comer allí#4,4#1.583# · €€#Marbella##Puerto
15#Restaurante La Pesquera de Banús. Marisquería. Carne gallega.#2,9(749) · €€#Restaurante · Playa de Levante, Av. de Julio Iglesias, s/n#Abierto ⋅ Cierra a las 0:00#  Comer allí#·#2,9#749# · €€#Marbella##Puerto
16#Top Thai Restaurante Puerto Banús#4,3(318) · €€#Tailandesa · Av de Manolete, 1#Cierra pronto ⋅ 16:00 ⋅ Apertura: 19:00 (vie)#  Comer allí#·#4,3#318# · €€#Marbella##Puerto
17#Taberna Casa Blanca#4,2(1.099) · €€#Taberna · Av. de Julio Iglesias, 2#Abierto ⋅ Cierra a las 23:30#"  ""El mejor restaurante de Puerto Banús"""#  RESERVAR UNA MESA#4,2#1.099# · €€#Marbella##Puerto
18#Breathe - Restaurante Marbella | Gastrobar & Garden#4,1(730)#Restaurante · C. los Lirios#Cerrado ⋅ Apertura: 18:00#"  ""Local super bonito en Puerto Banús."""#  RESERVAR UNA MESA#4,1#730##Marbella##Puerto
